time_s,time_us,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,uart_transfer_init_error,uart_transfer_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,reset_counter,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601803138,743000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1446897,724969,722043,51,7,115,11,0,2020-10-04T12:18:58,1601677469.423661,2020-10-03T01:24:29
1601803150,788000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1459099,731119,728095,53,7,187,11,0,2020-10-04T12:19:10,1601677481.7808678,2020-10-03T01:24:41
1601803154,150000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1461475,732319,729271,53,7,6,11,0,2020-10-04T12:19:14,1601677496.295665,2020-10-03T01:24:56
1601802976,234000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1530864,767269,763715,63,7,137,11,0,2020-10-04T12:16:16,1601677566.007597,2020-10-03T01:26:06
1601802983,963000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1535061,769369,765815,64,7,212,11,0,2020-10-04T12:16:23,1601677578.16442,2020-10-03T01:26:18
1601802999,27000,0,-116,-14,-19,0,0,-14,0,0,0,-88,1536236,769969,766397,65,7,12,11,0,2020-10-04T12:16:39,1601677592.4226599,2020-10-03T01:26:32
1601803006,844000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1536490,770119,766513,66,7,82,11,0,2020-10-04T12:16:46,1601677605.521137,2020-10-03T01:26:45
1601803023,850000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1536989,770419,766732,67,7,158,11,0,2020-10-04T12:17:03,1601677620.3854358,2020-10-03T01:27:00
1601803034,581000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1537505,770719,766964,68,7,232,11,0,2020-10-04T12:17:14,1601677634.6670768,2020-10-03T01:27:14
1601803048,397000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1538020,771019,767202,69,7,50,11,0,2020-10-04T12:17:28,1601677649.5770369,2020-10-03T01:27:29
315964809,705000,0,0,-14,-116,0,0,-14,0,0,0,-88,190,151,44,0,8,197,11,0,1980-01-06T03:00:09,1601677676.467777,2020-10-03T01:27:56
315964821,984000,0,-116,-14,-14,0,0,-14,0,0,0,-88,682,601,93,1,8,21,11,0,1980-01-06T03:00:21,1601677691.642024,2020-10-03T01:28:11
315964833,870000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1323,1201,137,3,8,102,11,0,1980-01-06T03:00:33,1601677705.953989,2020-10-03T01:28:25
