time_s,time_us,accel[0],accel[1],accel[2],compass[0],compass[1],compass[2],quaternion[0],quaternion[1],quaternion[2],quaternion[3],seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601803052,930000,0.0,0.0,0.0,-1748.68505859375,1983.63525390625,421.3910217285156,1.0,0.0,0.0,0.0,45,11,0,2020-10-04T12:17:32,1601677648.2170398,2020-10-03T01:27:28
1601803055,239000,0.0,0.0,0.0,-1658.0946044921875,2067.212158203125,447.1069641113281,1.0,0.0,0.0,0.0,87,11,0,2020-10-04T12:17:35,1601677656.574725,2020-10-03T01:27:36
315964808,78000,0.0,0.0,0.0,-1822.9105224609375,2061.9521484375,401.5195617675781,1.0,0.0,0.0,0.0,183,11,0,1980-01-06T03:00:08,1601677673.541461,2020-10-03T01:27:53
315964815,207000,0.0,0.0,0.0,-1811.805908203125,2399.181884765625,417.2998352050781,1.0,0.0,0.0,0.0,221,11,0,1980-01-06T03:00:15,1601677681.649405,2020-10-03T01:28:01
315964821,545000,0.0,0.0,0.0,-1667.4459228515625,2291.642333984375,445.3536071777344,1.0,0.0,0.0,0.0,6,11,0,1980-01-06T03:00:21,1601677688.143945,2020-10-03T01:28:08
315964828,908000,0.0,0.0,0.0,-1951.4903564453125,2190.531982421875,383.4015197753906,1.0,0.0,0.0,0.0,48,11,0,1980-01-06T03:00:28,1601677696.4167168,2020-10-03T01:28:16
315964835,449000,0.0,0.0,0.0,-1916.4232177734375,2353.010009765625,396.84393310546875,1.0,0.0,0.0,0.0,87,11,0,1980-01-06T03:00:35,1601677703.422636,2020-10-03T01:28:23
315964842,509000,0.0,0.0,0.0,-1834.0152587890625,2413.208740234375,419.6376647949219,1.0,0.0,0.0,0.0,127,11,0,1980-01-06T03:00:42,1601677710.6410198,2020-10-03T01:28:30
315964849,209000,0.0,0.0,0.0,-1773.81640625,2386.32373046875,429.5733642578125,1.0,0.0,0.0,0.0,166,11,0,1980-01-06T03:00:49,1601677717.018712,2020-10-03T01:28:37
315964856,339000,0.0,0.0,0.0,-117.47515869140625,423.72882080078125,-201.63645935058594,1.0,0.0,0.0,0.0,208,11,0,1980-01-06T03:00:56,1601677725.391948,2020-10-03T01:28:45
315964863,41000,0.0,0.0,0.0,112.79953002929688,203.97427368164062,0.5844535231590271,1.0,0.0,0.0,0.0,249,11,0,1980-01-06T03:01:03,1601677732.4607759,2020-10-03T01:28:52
