time_s,time_us,red_sensor_raw,co_conc,ox_sensor_raw,no2_conc,nh3_sensor_raw,nh3_conc,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601802352,697500,1.4237446784973145,2.0496091842651367,33.10095977783203,4.902780055999756,16.816362380981445,0.003627402475103736,183,13,0,2020-10-04T12:05:52,1601676299.7980409,2020-10-03T01:04:59
1601802360,815500,1.40597665309906,2.0819954872131348,33.10095977783203,4.902780055999756,16.45450210571289,0.0037759561091661453,227,13,0,2020-10-04T12:06:00,1601676307.91028,2020-10-03T01:05:07
1601802369,815500,1.4448336362838745,2.0123298168182373,36.228633880615234,5.353897571563721,17.194303512573242,0.0034816560801118612,14,13,0,2020-10-04T12:06:09,1601676316.6438758,2020-10-03T01:05:16
1601802376,815500,1.449404239654541,2.004410982131958,38.01802444458008,5.611544132232666,17.58942413330078,0.003338721813634038,58,13,0,2020-10-04T12:06:16,1601676324.398969,2020-10-03T01:05:24
1601802386,886500,1.4524612426757812,1.999145746231079,39.17669677734375,5.778213024139404,18.436115264892578,0.0030613106209784746,101,13,0,2020-10-04T12:06:26,1601676333.364205,2020-10-03T01:05:33
1601802394,886500,1.4177907705307007,2.0603599548339844,38.39674758911133,5.666035175323486,18.0029239654541,0.003198604565113783,145,13,0,2020-10-04T12:06:34,1601676342.112604,2020-10-03T01:05:42
1601802404,886500,1.4616820812225342,1.9834141731262207,40.83308410644531,6.016262054443359,18.89043426513672,0.0029268471989780664,194,13,0,2020-10-04T12:06:44,1601676351.863036,2020-10-03T01:05:51
1601802412,886500,1.4524612426757812,1.999145746231079,39.988162994384766,5.894864559173584,19.868972778320312,0.0026664328761398792,238,13,0,2020-10-04T12:06:52,1601676360.21032,2020-10-03T01:06:00
1601802422,930500,1.4787813425064087,1.9548242092132568,42.6319580078125,6.274514198303223,20.396869659423828,0.0025404957123100758,27,13,0,2020-10-04T12:07:02,1601676369.643781,2020-10-03T01:06:09
1601802429,930500,1.4787813425064087,1.9548242092132568,49.094573974609375,7.200132846832275,22.16154670715332,0.0021798545494675636,67,13,0,2020-10-04T12:07:09,1601676377.1185,2020-10-03T01:06:17
1601802437,930500,1.449404239654541,2.004410982131958,53.83237075805664,7.876744747161865,22.16154670715332,0.0021798545494675636,111,13,0,2020-10-04T12:07:17,1601676387.1569688,2020-10-03T01:06:27
1601802448,16500,1.4570623636245728,1.9912678003311157,57.8050537109375,8.44293212890625,22.16154670715332,0.0021798545494675636,155,13,0,2020-10-04T12:07:28,1601676394.79438,2020-10-03T01:06:34
1601802458,16500,1.4524612426757812,1.999145746231079,64.44328308105469,9.386868476867676,23.51624870300293,0.001953813247382641,202,13,0,2020-10-04T12:07:38,1601676404.834029,2020-10-03T01:06:44
1601802465,16500,1.4601401090621948,1.9860292673110962,66.62442016601562,9.696474075317383,23.51624870300293,0.001953813247382641,245,13,0,2020-10-04T12:07:45,1601676412.715829,2020-10-03T01:06:52
1601802475,16500,1.4616820812225342,1.9834141731262207,71.45407104492188,10.381135940551758,24.25710105895996,0.0018451344221830368,32,13,0,2020-10-04T12:07:55,1601676422.249976,2020-10-03T01:07:02
1601802483,96500,1.435747504234314,2.02824068069458,71.45407104492188,10.381135940551758,25.045753479003906,0.0017393621383234859,73,13,0,2020-10-04T12:08:03,1601676429.410848,2020-10-03T01:07:09
1601802490,96500,1.449404239654541,2.004410982131958,74.13720703125,10.76099681854248,26.78622055053711,0.0015365792205557227,116,13,0,2020-10-04T12:08:10,1601676437.9051518,2020-10-03T01:07:17
1601802498,96500,1.441796898841858,2.017622470855713,77.02674102783203,11.169692039489746,26.78622055053711,0.0015365792205557227,163,13,0,2020-10-04T12:08:18,1601676446.611228,2020-10-03T01:07:26
1601802508,96500,1.4252381324768066,2.0469284057617188,77.02674102783203,11.169692039489746,26.78622055053711,0.0015365792205557227,207,13,0,2020-10-04T12:08:28,1601676455.3271759,2020-10-03T01:07:35
1601802515,176500,1.4478785991668701,2.0070478916168213,78.5564956665039,11.385904312133789,27.749692916870117,0.0014395896578207612,246,13,0,2020-10-04T12:08:35,1601676462.636008,2020-10-03T01:07:42
1601802525,176500,1.4509316682815552,2.001776933670044,80.1474380493164,11.610651969909668,25.886981964111328,0.0016365067567676306,37,13,0,2020-10-04T12:08:45,1601676472.7059438,2020-10-03T01:07:52
1601802533,176500,1.4539929628372192,1.9965169429779053,81.8033218383789,11.84445571899414,25.886981964111328,0.0016365067567676306,86,13,0,2020-10-04T12:08:53,1601676482.639633,2020-10-03T01:08:02
1601802543,216500,1.4678707122802734,1.972980260848999,81.8033218383789,11.84445571899414,26.78622055053711,0.0015365792205557227,130,13,0,2020-10-04T12:09:03,1601676490.5419478,2020-10-03T01:08:10
1601802551,216500,1.4663203954696655,1.9755847454071045,87.20292663574219,12.606042861938477,28.784536361694336,0.001345549593679607,175,13,0,2020-10-04T12:09:11,1601676499.1622999,2020-10-03T01:08:19
1601802562,216500,1.4387682676315308,2.022925853729248,85.32647705078125,12.341516494750977,27.749692916870117,0.0014395896578207612,224,13,0,2020-10-04T12:09:22,1601676509.196728,2020-10-03T01:08:29
1601802569,216500,1.4387682676315308,2.022925853729248,87.20292663574219,12.606042861938477,32.4064826965332,0.001081253751181066,15,13,0,2020-10-04T12:09:29,1601676518.4714198,2020-10-03T01:08:38
1601802579,297500,1.46477210521698,1.9781920909881592,93.35597229003906,13.472461700439453,32.4064826965332,0.001081253751181066,59,13,0,2020-10-04T12:09:39,1601676526.8694248,2020-10-03T01:08:46
