time_s,time_us,bme_last_error,bme_error_counter,adc_last_error,adc_error_counter,resets_count,reset_cause,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601802584,899000,0,0,0,0,1,2,84,13,0,2020-10-04T12:09:44,1601676531.724556,2020-10-03T01:08:51
1601802599,899000,0,0,0,0,1,2,175,13,0,2020-10-04T12:09:59,1601676549.2961879,2020-10-03T01:09:09
1601802617,953000,0,0,0,0,1,2,6,13,0,2020-10-04T12:10:17,1601676566.388577,2020-10-03T01:09:26
1601802636,14000,0,0,0,0,1,2,95,13,0,2020-10-04T12:10:36,1601676584.272748,2020-10-03T01:09:44
1601802654,14000,0,0,0,0,1,2,185,13,0,2020-10-04T12:10:54,1601676602.2471008,2020-10-03T01:10:02
1601802672,74000,0,0,0,0,1,2,18,13,0,2020-10-04T12:11:12,1601676619.579488,2020-10-03T01:10:19
1601802690,74000,0,0,0,0,1,2,104,13,0,2020-10-04T12:11:30,1601676637.808472,2020-10-03T01:10:37
1601802708,139000,0,0,0,0,1,2,192,13,0,2020-10-04T12:11:48,1601676655.554744,2020-10-03T01:10:55
1601802723,139000,0,0,0,0,1,2,22,13,0,2020-10-04T12:12:03,1601676672.5824609,2020-10-03T01:11:12
1601802741,137000,0,0,0,0,1,2,115,13,0,2020-10-04T12:12:21,1601676690.563916,2020-10-03T01:11:30
1601802759,290000,0,0,0,0,1,2,205,13,0,2020-10-04T12:12:39,1601676707.7316768,2020-10-03T01:11:47
1601802777,290000,0,0,0,0,1,2,38,13,0,2020-10-04T12:12:57,1601676725.348281,2020-10-03T01:12:05
1601802795,361000,0,0,0,0,1,2,125,13,0,2020-10-04T12:13:15,1601676742.571729,2020-10-03T01:12:22
1601802813,361000,0,0,0,0,1,2,214,13,0,2020-10-04T12:13:33,1601676761.16308,2020-10-03T01:12:41
1601802831,426000,0,0,0,0,1,2,48,13,0,2020-10-04T12:13:51,1601676778.7548928,2020-10-03T01:12:58
1601802846,426000,0,0,0,0,1,2,133,13,0,2020-10-04T12:14:06,1601676796.155969,2020-10-03T01:13:16
1601802864,500000,0,0,0,0,1,2,217,13,0,2020-10-04T12:14:24,1601676813.6414518,2020-10-03T01:13:33
1601802882,575000,0,0,0,0,1,2,48,13,0,2020-10-04T12:14:42,1601676831.247221,2020-10-03T01:13:51
1601802900,575000,0,0,0,0,1,2,140,13,0,2020-10-04T12:15:00,1601676849.297201,2020-10-03T01:14:09
1601802918,651000,0,0,0,0,1,2,223,13,0,2020-10-04T12:15:18,1601676866.058197,2020-10-03T01:14:26
1601802936,651000,0,0,0,0,1,2,53,13,0,2020-10-04T12:15:36,1601676884.1801848,2020-10-03T01:14:44
1601802954,719000,0,0,0,0,1,2,142,13,0,2020-10-04T12:15:54,1601676901.600301,2020-10-03T01:15:01
1601802980,735000,0,0,0,0,1,2,20,13,0,2020-10-04T12:16:20,1601676931.729152,2020-10-03T01:15:31
1601802998,735000,0,0,0,0,1,2,95,13,0,2020-10-04T12:16:38,1601676946.1017768,2020-10-03T01:15:46
1601803010,329000,0,0,0,0,1,2,162,13,0,2020-10-04T12:16:50,1601676959.6851199,2020-10-03T01:15:59
1601802988,904000,0,0,0,0,1,2,51,13,0,2020-10-04T12:16:28,1601677004.0160038,2020-10-03T01:16:44
1601803003,500000,0,0,0,0,1,2,128,13,0,2020-10-04T12:16:43,1601677017.250552,2020-10-03T01:16:57
1601803018,500000,0,0,0,0,1,2,207,13,0,2020-10-04T12:16:58,1601677031.9525728,2020-10-03T01:17:11
1601802972,85000,0,0,0,0,1,2,28,13,0,2020-10-04T12:16:12,1601677046.5432608,2020-10-03T01:17:26
1601802987,85000,0,0,0,0,1,2,107,13,0,2020-10-04T12:16:27,1601677061.3381839,2020-10-03T01:17:41
1601802999,85000,0,0,0,0,1,2,190,13,0,2020-10-04T12:16:39,1601677076.643077,2020-10-03T01:17:56
1601803013,684000,0,0,0,0,1,2,11,13,0,2020-10-04T12:16:53,1601677089.477072,2020-10-03T01:18:09
1601803025,684000,0,0,0,0,1,2,81,13,0,2020-10-04T12:17:05,1601677101.5476248,2020-10-03T01:18:21
1601803037,283000,0,0,0,0,1,2,151,13,0,2020-10-04T12:17:17,1601677114.242565,2020-10-03T01:18:34
1601803049,283000,0,0,0,0,1,2,223,13,0,2020-10-04T12:17:29,1601677127.152081,2020-10-03T01:18:47
1601803063,885000,0,0,0,0,1,2,40,13,0,2020-10-04T12:17:43,1601677140.2294478,2020-10-03T01:19:00
1601803075,885000,0,0,0,0,1,2,110,13,0,2020-10-04T12:17:55,1601677152.4103239,2020-10-03T01:19:12
1601803087,885000,0,0,0,0,1,2,185,13,0,2020-10-04T12:18:07,1601677165.6634169,2020-10-03T01:19:25
1601803099,491000,0,0,0,0,1,2,255,13,0,2020-10-04T12:18:19,1601677176.963085,2020-10-03T01:19:36
1601803111,491000,0,0,0,0,1,2,70,13,0,2020-10-04T12:18:31,1601677190.211376,2020-10-03T01:19:50
1601803126,95000,0,0,0,0,1,2,138,13,0,2020-10-04T12:18:46,1601677202.717061,2020-10-03T01:20:02
1601803138,95000,0,0,0,0,1,2,205,13,0,2020-10-04T12:18:58,1601677214.688041,2020-10-03T01:20:14
1601803150,95000,0,0,0,0,1,2,21,13,0,2020-10-04T12:19:10,1601677227.411332,2020-10-03T01:20:27
1601803161,698000,0,0,0,0,1,2,93,13,0,2020-10-04T12:19:21,1601677239.767096,2020-10-03T01:20:39
1601803173,698000,0,0,0,0,1,2,166,13,0,2020-10-04T12:19:33,1601677252.5038369,2020-10-03T01:20:52
1601803185,304000,0,0,0,0,1,2,240,13,0,2020-10-04T12:19:45,1601677265.3092809,2020-10-03T01:21:05
1601803200,304000,0,0,0,0,1,2,55,13,0,2020-10-04T12:20:00,1601677277.477453,2020-10-03T01:21:17
1601803212,304000,0,0,0,0,1,2,127,13,0,2020-10-04T12:20:12,1601677290.506588,2020-10-03T01:21:30
1601803223,912000,0,0,0,0,1,2,200,13,0,2020-10-04T12:20:23,1601677303.6469119,2020-10-03T01:21:43
1601803235,912000,0,0,0,0,1,2,14,13,0,2020-10-04T12:20:35,1601677316.207676,2020-10-03T01:21:56
1601803250,520000,0,0,0,0,1,2,87,13,0,2020-10-04T12:20:50,1601677328.589,2020-10-03T01:22:08
1601803262,520000,0,0,0,0,1,2,156,13,0,2020-10-04T12:21:02,1601677341.2431889,2020-10-03T01:22:21
1601803274,520000,0,0,0,0,1,2,233,13,0,2020-10-04T12:21:14,1601677354.7263958,2020-10-03T01:22:34
1601803286,127000,0,0,0,0,1,2,51,13,0,2020-10-04T12:21:26,1601677367.661469,2020-10-03T01:22:47
1601803301,127000,0,0,0,0,1,2,124,13,0,2020-10-04T12:21:41,1601677380.436261,2020-10-03T01:23:00
1601803312,734000,0,0,0,0,1,2,196,13,0,2020-10-04T12:21:52,1601677393.177625,2020-10-03T01:23:13
1601803324,734000,0,0,0,0,1,2,13,13,0,2020-10-04T12:22:04,1601677406.175941,2020-10-03T01:23:26
1601803336,734000,0,0,0,0,1,2,83,13,0,2020-10-04T12:22:16,1601677418.2968888,2020-10-03T01:23:38
1601803351,341000,0,0,0,0,1,2,157,13,0,2020-10-04T12:22:31,1601677431.070708,2020-10-03T01:23:51
1601803363,341000,0,0,0,0,1,2,232,13,0,2020-10-04T12:22:43,1601677443.2461169,2020-10-03T01:24:03
1601803125,325000,0,0,0,0,1,2,52,13,0,2020-10-04T12:18:45,1601677456.37686,2020-10-03T01:24:16
