time_s,time_us,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315964926,808660,0,0,0,0,0,0,0,0,0,0,3930341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,93,20,0,1980-01-06T03:02:06,1601677795.164573,2020-10-03T01:29:55
315964955,355539,0,0,0,0,0,0,0,0,0,0,3959341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250097,250,20,0,1980-01-06T03:02:35,1601677824.2717688,2020-10-03T01:30:24
315964970,121159,0,0,0,0,0,0,0,0,0,0,3974341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257777,72,20,0,1980-01-06T03:02:50,1601677838.932324,2020-10-03T01:30:38
315964984,886809,0,0,0,0,0,0,0,0,0,0,3989341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3223857,147,20,0,1980-01-06T03:03:04,1601677853.670265,2020-10-03T01:30:53
315964998,668059,0,0,0,0,0,0,0,0,0,0,4003341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3223857,228,20,0,1980-01-06T03:03:18,1601677868.038509,2020-10-03T01:31:08
315965012,449310,0,0,0,0,0,0,0,0,0,0,4017341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257777,51,20,0,1980-01-06T03:03:32,1601677882.2668169,2020-10-03T01:31:22
315965027,214930,0,0,0,0,0,0,0,0,0,0,4032341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,136,20,0,1980-01-06T03:03:47,1601677896.8317878,2020-10-03T01:31:36
315965040,996205,0,0,0,0,0,0,0,0,0,0,4046341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250097,217,20,0,1980-01-06T03:04:00,1601677911.063933,2020-10-03T01:31:51
315965054,777924,0,0,0,0,0,0,0,0,0,0,4060341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257777,40,20,0,1980-01-06T03:04:14,1601677925.264225,2020-10-03T01:32:05
315965068,558733,0,0,0,0,0,0,0,0,0,0,4074341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,110,20,0,1980-01-06T03:04:28,1601677939.137501,2020-10-03T01:32:19
315965082,339979,0,0,0,0,0,0,0,0,0,0,4088341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,189,20,0,1980-01-06T03:04:42,1601677953.4850478,2020-10-03T01:32:33
315965097,105756,0,0,0,0,0,0,0,0,0,0,4103341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127217,13,20,0,1980-01-06T03:04:57,1601677968.040077,2020-10-03T01:32:48
315965110,887005,0,0,0,0,0,0,0,0,0,0,4117341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3223857,90,20,0,1980-01-06T03:05:10,1601677982.141636,2020-10-03T01:33:02
315965139,433877,0,0,0,0,0,0,0,0,0,0,4146341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3223857,243,20,0,1980-01-06T03:05:39,1601678011.139112,2020-10-03T01:33:31
315965153,215126,0,0,0,0,0,0,0,0,0,0,4160341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3216177,62,20,0,1980-01-06T03:05:53,1601678025.672989,2020-10-03T01:33:45
315965167,980755,0,0,0,0,0,0,0,0,0,0,4175341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,141,20,0,1980-01-06T03:06:07,1601678040.137781,2020-10-03T01:34:00
315965182,746376,0,0,0,0,0,0,0,0,0,0,4190341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3223857,222,20,0,1980-01-06T03:06:22,1601678054.892168,2020-10-03T01:34:14
315965196,527630,0,0,0,0,0,0,0,0,0,0,4204341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127217,47,20,0,1980-01-06T03:06:36,1601678069.165477,2020-10-03T01:34:29
315965211,293251,0,0,0,0,0,0,0,0,0,0,4219341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3223857,129,20,0,1980-01-06T03:06:51,1601678083.909153,2020-10-03T01:34:43
315965223,105755,0,0,0,0,0,0,0,0,0,0,4231341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3223857,194,20,0,1980-01-06T03:07:03,1601678096.260825,2020-10-03T01:34:56
315965237,871376,0,0,0,0,0,0,0,0,0,0,4246341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,18,20,0,1980-01-06T03:07:17,1601678111.377769,2020-10-03T01:35:11
