time_s,time_us,deg,seq,srcSystem,srcComponent,time_gregorian
1601804959,209500,2.9793968200683594,242,13,0,2020-10-04T12:49:19
1601804960,209500,2.417163848876953,247,13,0,2020-10-04T12:49:20
1601804961,209500,2.604555130004883,251,13,0,2020-10-04T12:49:21
1601804962,209500,2.7919769287109375,0,13,0,2020-10-04T12:49:22
1601804963,209500,2.417163848876953,5,13,0,2020-10-04T12:49:23
1601804964,209500,2.417163848876953,9,13,0,2020-10-04T12:49:24
1601804965,209500,2.9793968200683594,14,13,0,2020-10-04T12:49:25
1601804966,209500,2.604555130004883,19,13,0,2020-10-04T12:49:26
1601804967,209500,2.604555130004883,23,13,0,2020-10-04T12:49:27
1601804968,209500,2.2297439575195312,28,13,0,2020-10-04T12:49:28
1601804969,209500,3.166788101196289,33,13,0,2020-10-04T12:49:29
1601804970,209500,2.9793968200683594,37,13,0,2020-10-04T12:49:30
1601804971,209500,2.417163848876953,42,13,0,2020-10-04T12:49:31
1601804972,209500,2.417163848876953,47,13,0,2020-10-04T12:49:32
1601804973,209500,2.7919769287109375,51,13,0,2020-10-04T12:49:33
1601804974,209500,2.7919769287109375,56,13,0,2020-10-04T12:49:34
1601804975,209500,2.7919769287109375,61,13,0,2020-10-04T12:49:35
1601804976,209500,2.604555130004883,65,13,0,2020-10-04T12:49:36
1601804977,209500,3.166788101196289,70,13,0,2020-10-04T12:49:37
1601804978,209500,2.604555130004883,75,13,0,2020-10-04T12:49:38
1601804979,209500,2.7919769287109375,79,13,0,2020-10-04T12:49:39
1601804980,209500,2.604555130004883,84,13,0,2020-10-04T12:49:40
1601804981,209500,3.166788101196289,89,13,0,2020-10-04T12:49:41
1601804982,209500,3.166788101196289,93,13,0,2020-10-04T12:49:42
1601804983,209500,2.9793968200683594,98,13,0,2020-10-04T12:49:43
1601804984,209500,3.166788101196289,103,13,0,2020-10-04T12:49:44
1601804985,209500,2.9793968200683594,107,13,0,2020-10-04T12:49:45
1601804986,209500,2.9793968200683594,112,13,0,2020-10-04T12:49:46
1601804987,209500,3.3542098999023438,117,13,0,2020-10-04T12:49:47
1601804988,321000,2.7919769287109375,121,13,0,2020-10-04T12:49:48
1601804989,320500,2.9793968200683594,126,13,0,2020-10-04T12:49:49
1601804990,320500,3.166788101196289,131,13,0,2020-10-04T12:49:50
1601804991,320500,2.9793968200683594,135,13,0,2020-10-04T12:49:51
1601804992,320500,2.9793968200683594,140,13,0,2020-10-04T12:49:52
1601804993,320500,3.3542098999023438,145,13,0,2020-10-04T12:49:53
1601804994,320500,2.9793968200683594,149,13,0,2020-10-04T12:49:54
1601804995,320500,3.166788101196289,154,13,0,2020-10-04T12:49:55
1601804996,320500,2.9793968200683594,159,13,0,2020-10-04T12:49:56
1601804997,320500,3.166788101196289,163,13,0,2020-10-04T12:49:57
1601804998,320500,2.7919769287109375,168,13,0,2020-10-04T12:49:58
1601804999,320500,2.9793968200683594,173,13,0,2020-10-04T12:49:59
1601805000,320500,3.166788101196289,177,13,0,2020-10-04T12:50:00
1601805001,320500,3.3542098999023438,182,13,0,2020-10-04T12:50:01
1601805002,320500,3.166788101196289,187,13,0,2020-10-04T12:50:02
1601805003,320500,3.166788101196289,191,13,0,2020-10-04T12:50:03
1601805004,320500,3.166788101196289,196,13,0,2020-10-04T12:50:04
1601805005,320500,2.9793968200683594,201,13,0,2020-10-04T12:50:05
1601805006,320500,3.3542098999023438,205,13,0,2020-10-04T12:50:06
1601805007,320500,3.5416011810302734,210,13,0,2020-10-04T12:50:07
1601805008,320500,2.9793968200683594,215,13,0,2020-10-04T12:50:08
1601805009,320500,3.3542098999023438,219,13,0,2020-10-04T12:50:09
1601805010,320500,3.166788101196289,224,13,0,2020-10-04T12:50:10
1601805011,320500,2.9793968200683594,229,13,0,2020-10-04T12:50:11
1601805012,320500,3.166788101196289,233,13,0,2020-10-04T12:50:12
1601805013,320500,2.7919769287109375,238,13,0,2020-10-04T12:50:13
1601805014,320500,2.9793968200683594,243,13,0,2020-10-04T12:50:14
1601805015,320500,3.3542098999023438,247,13,0,2020-10-04T12:50:15
1601805016,320500,2.7919769287109375,252,13,0,2020-10-04T12:50:16
1601805017,320500,3.3542098999023438,1,13,0,2020-10-04T12:50:17
1601805018,320500,2.9793968200683594,5,13,0,2020-10-04T12:50:18
1601805019,388000,3.3542098999023438,10,13,0,2020-10-04T12:50:19
1601805020,387500,3.5416011810302734,15,13,0,2020-10-04T12:50:20
1601805021,387500,2.9793968200683594,19,13,0,2020-10-04T12:50:21
1601805022,387500,2.7919769287109375,24,13,0,2020-10-04T12:50:22
1601805023,387500,3.166788101196289,29,13,0,2020-10-04T12:50:23
1601805024,387500,3.166788101196289,33,13,0,2020-10-04T12:50:24
1601805025,387500,3.3542098999023438,38,13,0,2020-10-04T12:50:25
1601805026,387500,3.166788101196289,43,13,0,2020-10-04T12:50:26
1601805027,387500,3.5416011810302734,47,13,0,2020-10-04T12:50:27
1601805028,387500,3.166788101196289,52,13,0,2020-10-04T12:50:28
1601805029,387500,2.9793968200683594,57,13,0,2020-10-04T12:50:29
1601805030,387500,2.9793968200683594,61,13,0,2020-10-04T12:50:30
1601805031,387500,3.5416011810302734,66,13,0,2020-10-04T12:50:31
1601805032,387500,3.91644287109375,71,13,0,2020-10-04T12:50:32
1601805033,387500,3.7290210723876953,75,13,0,2020-10-04T12:50:33
1601805034,387500,3.3542098999023438,80,13,0,2020-10-04T12:50:34
1601805035,387500,3.5416011810302734,85,13,0,2020-10-04T12:50:35
