time_s,time_us,rx_done_cnt,rx_dropped_cnt,rx_error_cnt,tx_done_cnt,tx_zeroes_cnt,tx_overrun_cnt,tx_error_cnt,restarts_cnt,listen_done_cnt,last_error,seq,srcSystem,srcComponent,time_gregorian
1601800534,692500,9596,0,0,9556,0,0,0,0,19152,0,76,13,0,2020-10-04T11:35:34
1601800537,314500,9644,0,0,9602,0,0,0,0,19246,0,90,13,0,2020-10-04T11:35:37
1601800540,314500,9690,0,0,9648,0,0,0,0,19338,0,104,13,0,2020-10-04T11:35:40
1601800543,314500,9738,0,0,9696,0,0,0,0,19434,0,118,13,0,2020-10-04T11:35:43
1601800546,314500,9786,0,0,9744,0,0,0,0,19530,0,132,13,0,2020-10-04T11:35:46
1601800549,314500,9833,0,0,9791,0,0,0,0,19624,0,146,13,0,2020-10-04T11:35:49
1601800552,314500,9880,0,0,9838,0,0,0,0,19718,0,160,13,0,2020-10-04T11:35:52
1601800555,314500,9925,0,0,9883,0,0,0,0,19808,0,174,13,0,2020-10-04T11:35:55
1601800558,314500,9971,0,0,9929,0,0,0,0,19900,0,188,13,0,2020-10-04T11:35:58
1601800561,314500,10018,0,0,9976,0,0,0,0,19994,0,202,13,0,2020-10-04T11:36:01
1601800564,314500,10064,0,0,10022,0,0,0,0,20086,0,216,13,0,2020-10-04T11:36:04
1601800567,314500,10110,0,0,10068,0,0,0,0,20178,0,230,13,0,2020-10-04T11:36:07
1601800569,937500,10158,0,0,10114,0,0,0,0,20272,0,244,13,0,2020-10-04T11:36:09
1601800572,937500,10205,0,0,10161,0,0,0,0,20366,0,2,13,0,2020-10-04T11:36:12
1601800575,937500,10251,0,0,10207,0,0,0,0,20458,0,16,13,0,2020-10-04T11:36:15
1601800578,937500,10297,0,0,10253,0,0,0,0,20550,0,30,13,0,2020-10-04T11:36:18
1601800581,937500,10343,0,0,10299,0,0,0,0,20642,0,44,13,0,2020-10-04T11:36:21
1601800584,937500,10389,0,0,10345,0,0,0,0,20734,0,58,13,0,2020-10-04T11:36:24
1601800587,937500,10438,0,0,10394,0,0,0,0,20832,0,72,13,0,2020-10-04T11:36:27
1601800590,937500,10487,0,0,10443,0,0,0,0,20930,0,86,13,0,2020-10-04T11:36:30
1601800593,937500,10535,0,0,10491,0,0,0,0,21026,0,100,13,0,2020-10-04T11:36:33
1601800596,937500,10584,0,0,10540,0,0,0,0,21124,0,114,13,0,2020-10-04T11:36:36
1601800599,559500,10635,0,0,10589,0,0,0,0,21224,0,128,13,0,2020-10-04T11:36:39
1601800602,559500,10684,0,0,10638,0,0,0,0,21322,0,142,13,0,2020-10-04T11:36:42
1601800605,559500,10733,0,0,10687,0,0,0,0,21420,0,156,13,0,2020-10-04T11:36:45
1601800608,559500,10782,0,0,10736,0,0,0,0,21518,0,170,13,0,2020-10-04T11:36:48
1601800611,559500,10829,0,0,10783,0,0,0,0,21612,0,184,13,0,2020-10-04T11:36:51
