time_s,time_us,o2_conc,seq,srcSystem,srcComponent,time_gregorian
1601800081,624000,18.597991943359375,246,13,0,2020-10-04T11:28:01
1601800082,624000,18.4575252532959,250,13,0,2020-10-04T11:28:02
1601800083,624000,18.31705665588379,255,13,0,2020-10-04T11:28:03
1601800084,624000,18.62608528137207,4,13,0,2020-10-04T11:28:04
1601800085,624000,18.62608528137207,8,13,0,2020-10-04T11:28:05
1601800086,624000,18.31705665588379,13,13,0,2020-10-04T11:28:06
1601800087,624000,18.55585289001465,18,13,0,2020-10-04T11:28:07
1601800088,624000,18.61203956604004,22,13,0,2020-10-04T11:28:08
1601800089,624000,18.61203956604004,27,13,0,2020-10-04T11:28:09
1601800090,624000,18.61203956604004,32,13,0,2020-10-04T11:28:10
1601800091,624000,18.373241424560547,36,13,0,2020-10-04T11:28:11
1601800092,624000,18.429431915283203,41,13,0,2020-10-04T11:28:12
1601800093,624000,18.597991943359375,46,13,0,2020-10-04T11:28:13
1601800094,624000,18.597991943359375,50,13,0,2020-10-04T11:28:14
1601800095,624000,18.303009033203125,55,13,0,2020-10-04T11:28:15
1601800096,624000,18.4434757232666,60,13,0,2020-10-04T11:28:16
1601800097,624000,18.597991943359375,64,13,0,2020-10-04T11:28:17
1601800098,624000,18.61203956604004,69,13,0,2020-10-04T11:28:18
1601800099,624000,18.61203956604004,74,13,0,2020-10-04T11:28:19
1601800100,624000,18.597991943359375,78,13,0,2020-10-04T11:28:20
1601800101,624000,18.31705665588379,83,13,0,2020-10-04T11:28:21
1601800102,624000,18.61203956604004,88,13,0,2020-10-04T11:28:22
1601800103,624000,18.61203956604004,92,13,0,2020-10-04T11:28:23
1601800104,624000,18.61203956604004,97,13,0,2020-10-04T11:28:24
1601800105,624000,18.260868072509766,102,13,0,2020-10-04T11:28:25
1601800106,624000,18.373241424560547,106,13,0,2020-10-04T11:28:26
1601800107,624000,18.61203956604004,111,13,0,2020-10-04T11:28:27
1601800108,912000,18.62608528137207,116,13,0,2020-10-04T11:28:28
1601800109,912000,18.260868072509766,120,13,0,2020-10-04T11:28:29
1601800110,912000,18.38728904724121,125,13,0,2020-10-04T11:28:30
1601800111,912000,18.61203956604004,130,13,0,2020-10-04T11:28:31
1601800112,912000,18.62608528137207,134,13,0,2020-10-04T11:28:32
1601800113,912000,18.61203956604004,139,13,0,2020-10-04T11:28:33
1601800114,912000,18.41538429260254,144,13,0,2020-10-04T11:28:34
1601800115,912000,18.14849281311035,148,13,0,2020-10-04T11:28:35
1601800116,912000,18.640132904052734,153,13,0,2020-10-04T11:28:36
1601800117,912000,18.62608528137207,158,13,0,2020-10-04T11:28:37
1601800118,912000,18.41538429260254,162,13,0,2020-10-04T11:28:38
1601800119,912000,18.4434757232666,167,13,0,2020-10-04T11:28:39
1601800120,912000,18.331100463867188,172,13,0,2020-10-04T11:28:40
1601800121,912000,18.62608528137207,176,13,0,2020-10-04T11:28:41
1601800122,912000,18.640132904052734,181,13,0,2020-10-04T11:28:42
1601800123,912000,18.303009033203125,186,13,0,2020-10-04T11:28:43
1601800124,912000,18.513710021972656,190,13,0,2020-10-04T11:28:44
1601800125,912000,18.62608528137207,195,13,0,2020-10-04T11:28:45
1601800126,912000,18.62608528137207,200,13,0,2020-10-04T11:28:46
1601800127,912000,18.640132904052734,204,13,0,2020-10-04T11:28:47
1601800128,912000,18.429431915283203,209,13,0,2020-10-04T11:28:48
1601800129,912000,18.4575252532959,214,13,0,2020-10-04T11:28:49
1601800130,912000,18.640132904052734,218,13,0,2020-10-04T11:28:50
1601800131,912000,18.640132904052734,223,13,0,2020-10-04T11:28:51
1601800132,912000,18.359195709228516,228,13,0,2020-10-04T11:28:52
1601800133,912000,18.359195709228516,232,13,0,2020-10-04T11:28:53
1601800134,912000,18.640132904052734,237,13,0,2020-10-04T11:28:54
1601800135,912000,18.640132904052734,242,13,0,2020-10-04T11:28:55
1601800136,912000,18.640132904052734,246,13,0,2020-10-04T11:28:56
1601800137,912000,18.28896141052246,251,13,0,2020-10-04T11:28:57
1601800138,912000,18.359195709228516,0,13,0,2020-10-04T11:28:58
1601800140,27000,18.68227195739746,4,13,0,2020-10-04T11:29:00
