time_s,time_us,bme_last_error,bme_error_counter,adc_last_error,adc_error_counter,resets_count,reset_cause,seq,srcSystem,srcComponent,time_gregorian
1601800337,556000,0,0,0,0,1,2,169,13,0,2020-10-04T11:32:17
1601800340,556000,0,0,0,0,1,2,183,13,0,2020-10-04T11:32:20
1601800343,556000,0,0,0,0,1,2,197,13,0,2020-10-04T11:32:23
1601800346,556000,0,0,0,0,1,2,211,13,0,2020-10-04T11:32:26
1601800349,556000,0,0,0,0,1,2,225,13,0,2020-10-04T11:32:29
1601800352,556000,0,0,0,0,1,2,239,13,0,2020-10-04T11:32:32
1601800355,180000,0,0,0,0,1,2,253,13,0,2020-10-04T11:32:35
1601800358,180000,0,0,0,0,1,2,11,13,0,2020-10-04T11:32:38
1601800361,180000,0,0,0,0,1,2,25,13,0,2020-10-04T11:32:41
1601800364,180000,0,0,0,0,1,2,39,13,0,2020-10-04T11:32:44
1601800367,180000,0,0,0,0,1,2,53,13,0,2020-10-04T11:32:47
1601800370,180000,0,0,0,0,1,2,67,13,0,2020-10-04T11:32:50
1601800373,180000,0,0,0,0,1,2,81,13,0,2020-10-04T11:32:53
1601800376,180000,0,0,0,0,1,2,95,13,0,2020-10-04T11:32:56
1601800379,180000,0,0,0,0,1,2,109,13,0,2020-10-04T11:32:59
1601800382,180000,0,0,0,0,1,2,123,13,0,2020-10-04T11:33:02
1601800384,805000,0,0,0,0,1,2,137,13,0,2020-10-04T11:33:04
1601800387,805000,0,0,0,0,1,2,151,13,0,2020-10-04T11:33:07
1601800390,805000,0,0,0,0,1,2,165,13,0,2020-10-04T11:33:10
1601800393,805000,0,0,0,0,1,2,179,13,0,2020-10-04T11:33:13
1601800396,805000,0,0,0,0,1,2,193,13,0,2020-10-04T11:33:16
1601800399,805000,0,0,0,0,1,2,207,13,0,2020-10-04T11:33:19
1601800402,805000,0,0,0,0,1,2,221,13,0,2020-10-04T11:33:22
1601800405,805000,0,0,0,0,1,2,235,13,0,2020-10-04T11:33:25
1601800408,805000,0,0,0,0,1,2,249,13,0,2020-10-04T11:33:28
1601800411,805000,0,0,0,0,1,2,7,13,0,2020-10-04T11:33:31
1601800414,428000,0,0,0,0,1,2,21,13,0,2020-10-04T11:33:34
1601800417,428000,0,0,0,0,1,2,35,13,0,2020-10-04T11:33:37
1601800420,428000,0,0,0,0,1,2,49,13,0,2020-10-04T11:33:40
1601800423,428000,0,0,0,0,1,2,63,13,0,2020-10-04T11:33:43
1601800426,428000,0,0,0,0,1,2,77,13,0,2020-10-04T11:33:46
1601800429,428000,0,0,0,0,1,2,91,13,0,2020-10-04T11:33:49
1601800432,428000,0,0,0,0,1,2,105,13,0,2020-10-04T11:33:52
1601800435,428000,0,0,0,0,1,2,119,13,0,2020-10-04T11:33:55
1601800438,428000,0,0,0,0,1,2,133,13,0,2020-10-04T11:33:58
1601800441,428000,0,0,0,0,1,2,147,13,0,2020-10-04T11:34:01
1601800444,428000,0,0,0,0,1,2,161,13,0,2020-10-04T11:34:04
1601800447,48000,0,0,0,0,1,2,175,13,0,2020-10-04T11:34:07
1601800450,48000,0,0,0,0,1,2,189,13,0,2020-10-04T11:34:10
1601800453,48000,0,0,0,0,1,2,203,13,0,2020-10-04T11:34:13
1601800456,48000,0,0,0,0,1,2,217,13,0,2020-10-04T11:34:16
1601800459,48000,0,0,0,0,1,2,231,13,0,2020-10-04T11:34:19
1601800462,48000,0,0,0,0,1,2,245,13,0,2020-10-04T11:34:22
1601800465,48000,0,0,0,0,1,2,3,13,0,2020-10-04T11:34:25
1601800468,48000,0,0,0,0,1,2,17,13,0,2020-10-04T11:34:28
1601800471,48000,0,0,0,0,1,2,31,13,0,2020-10-04T11:34:31
1601800474,48000,0,0,0,0,1,2,45,13,0,2020-10-04T11:34:34
1601800476,670000,0,0,0,0,1,2,59,13,0,2020-10-04T11:34:36
1601800479,670000,0,0,0,0,1,2,73,13,0,2020-10-04T11:34:39
1601800482,670000,0,0,0,0,1,2,87,13,0,2020-10-04T11:34:42
1601800485,670000,0,0,0,0,1,2,101,13,0,2020-10-04T11:34:45
1601800488,670000,0,0,0,0,1,2,115,13,0,2020-10-04T11:34:48
1601800491,670000,0,0,0,0,1,2,129,13,0,2020-10-04T11:34:51
1601800494,670000,0,0,0,0,1,2,143,13,0,2020-10-04T11:34:54
1601800497,670000,0,0,0,0,1,2,157,13,0,2020-10-04T11:34:57
1601800500,670000,0,0,0,0,1,2,171,13,0,2020-10-04T11:35:00
1601800503,670000,0,0,0,0,1,2,185,13,0,2020-10-04T11:35:03
1601800506,292000,0,0,0,0,1,2,199,13,0,2020-10-04T11:35:06
1601800509,292000,0,0,0,0,1,2,213,13,0,2020-10-04T11:35:09
